# Command: python train_ditto.py --task Structured/Amazon-Google-kfull-s123 --batch_size 32 --max_len 256 --lr 3e-05 --n_epochs 15 --lm roberta --run_id 123 --logdir /content/drive/MyDrive/slr-experiment/models/checkpoints/Structured/Amazon-Google-kfull-s123 --save_model --da del --dk product
# cwd: /content/drive/MyDrive/slr-experiment/ditto

/usr/local/lib/python3.12/dist-packages/spacy/pipeline/lemmatizer.py:187: UserWarning: [W108] The rule-based lemmatizer did not find POS annotation for one or more tokens. Check that your pipeline includes components that assign token.pos, typically 'tagger'+'attribute_ruler' or 'morphologizer'.
  warnings.warn(Warnings.W108)
2026-06-22 07:19:25.183678: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
step: 0, loss: 0.6336261034011841
step: 10, loss: 0.5937340259552002
step: 20, loss: 0.23658117651939392
step: 30, loss: 0.4243704676628113
step: 40, loss: 0.4645525813102722
step: 50, loss: 0.24738508462905884
step: 60, loss: 0.1882666051387787
step: 70, loss: 0.3628026247024536
step: 80, loss: 0.2099790871143341
step: 90, loss: 0.30781835317611694
step: 100, loss: 0.18377521634101868
step: 110, loss: 0.2529052495956421
step: 120, loss: 0.3675757050514221
step: 130, loss: 0.17985093593597412
step: 140, loss: 0.2684827446937561
step: 150, loss: 0.27700722217559814
step: 160, loss: 0.15668225288391113
step: 170, loss: 0.5408563017845154
step: 180, loss: 0.17299675941467285
step: 190, loss: 0.200712651014328
step: 200, loss: 0.3658513128757477
step: 210, loss: 0.35733306407928467
epoch 1: dev_f1=0.658493870402802, f1=0.6655172413793103, best_f1=0.6655172413793103
step: 0, loss: 0.19531677663326263
step: 10, loss: 0.2503221929073334
step: 20, loss: 0.2486346960067749
step: 30, loss: 0.3141862452030182
step: 40, loss: 0.09440067410469055
step: 50, loss: 0.1438858062028885
step: 60, loss: 0.12454524636268616
step: 70, loss: 0.31527942419052124
step: 80, loss: 0.1830017864704132
step: 90, loss: 0.17358258366584778
step: 100, loss: 0.08060476928949356
step: 110, loss: 0.23052655160427094
step: 120, loss: 0.2608092427253723
step: 130, loss: 0.15216784179210663
step: 140, loss: 0.06209363415837288
step: 150, loss: 0.18346692621707916
step: 160, loss: 0.19354155659675598
step: 170, loss: 0.1370423585176468
step: 180, loss: 0.045394763350486755
step: 190, loss: 0.20270396769046783
step: 200, loss: 0.12814079225063324
step: 210, loss: 0.08331917226314545
epoch 2: dev_f1=0.7178571428571429, f1=0.6962962962962963, best_f1=0.6962962962962963
step: 0, loss: 0.06004757806658745
step: 10, loss: 0.022933296859264374
step: 20, loss: 0.1270161271095276
step: 30, loss: 0.27348122000694275
step: 40, loss: 0.13443556427955627
step: 50, loss: 0.05948380380868912
step: 60, loss: 0.19448472559452057
step: 70, loss: 0.05141933634877205
step: 80, loss: 0.21717670559883118
step: 90, loss: 0.10816022753715515
step: 100, loss: 0.21856608986854553
step: 110, loss: 0.1602722704410553
step: 120, loss: 0.25605785846710205
