# Command: python train_ditto.py --task Structured/Amazon-Google-kfull-s456 --batch_size 32 --max_len 256 --lr 3e-05 --n_epochs 15 --lm roberta --run_id 456 --logdir /content/drive/MyDrive/slr-experiment/models/checkpoints/Structured/Amazon-Google-kfull-s456 --save_model --da del --dk product
# cwd: /content/drive/MyDrive/slr-experiment/ditto

/usr/local/lib/python3.12/dist-packages/spacy/pipeline/lemmatizer.py:187: UserWarning: [W108] The rule-based lemmatizer did not find POS annotation for one or more tokens. Check that your pipeline includes components that assign token.pos, typically 'tagger'+'attribute_ruler' or 'morphologizer'.
  warnings.warn(Warnings.W108)
2026-06-22 09:56:15.630025: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
step: 0, loss: 0.8775563836097717
step: 10, loss: 0.414922297000885
step: 20, loss: 0.388441264629364
step: 30, loss: 0.2011391818523407
step: 40, loss: 0.2170323133468628
step: 50, loss: 0.4459967613220215
step: 60, loss: 0.4328577220439911
step: 70, loss: 0.28952261805534363
step: 80, loss: 0.3291035294532776
step: 90, loss: 0.3198740482330322
step: 100, loss: 0.1646808385848999
step: 110, loss: 0.3076373040676117
step: 120, loss: 0.22060225903987885
step: 130, loss: 0.15623793005943298
step: 140, loss: 0.050841111689805984
step: 150, loss: 0.36595916748046875
step: 160, loss: 0.37731266021728516
step: 170, loss: 0.16587236523628235
step: 180, loss: 0.226551815867424
step: 190, loss: 0.16758845746517181
step: 200, loss: 0.26877665519714355
step: 210, loss: 0.14215680956840515
epoch 1: dev_f1=0.6823956442831216, f1=0.6887661141804788, best_f1=0.6887661141804788
step: 0, loss: 0.18320226669311523
step: 10, loss: 0.24710556864738464
step: 20, loss: 0.1776019185781479
step: 30, loss: 0.21570593118667603
step: 40, loss: 0.22668981552124023
step: 50, loss: 0.12423836439847946
step: 60, loss: 0.1390007585287094
step: 70, loss: 0.18694841861724854
step: 80, loss: 0.248601496219635
step: 90, loss: 0.44549962878227234
step: 100, loss: 0.07887358963489532
step: 110, loss: 0.23551636934280396
step: 120, loss: 0.17572541534900665
step: 130, loss: 0.4018581509590149
step: 140, loss: 0.260341078042984
step: 150, loss: 0.13768261671066284
step: 160, loss: 0.19881966710090637
step: 170, loss: 0.07839033007621765
step: 180, loss: 0.13608171045780182
step: 190, loss: 0.13856709003448486
step: 200, loss: 0.18502992391586304
step: 210, loss: 0.05566694214940071
epoch 2: dev_f1=0.7228915662650602, f1=0.7058823529411765, best_f1=0.7058823529411765
step: 0, loss: 0.142954021692276
step: 10, loss: 0.14910888671875
step: 20, loss: 0.23857419192790985
step: 30, loss: 0.2109500616788864
step: 40, loss: 0.07775551080703735
step: 50, loss: 0.15736603736877441
step: 60, loss: 0.21511659026145935
step: 70, loss: 0.08020207285881042
step: 80, loss: 0.049239128828048706
step: 90, loss: 0.0685783252120018
step: 100, loss: 0.2594154179096222
step: 110, loss: 0.13909263908863068
step: 120, loss: 0.07436157763004303
step: 130, loss: 0.23041993379592896
step: 140, loss: 0.16525301337242126
step: 150, loss: 0.2540470361709595
step: 160, loss: 0.060042575001716614
step: 170, loss: 0.20999345183372498
step: 180, loss: 0.24240851402282715
step: 190, loss: 0.03250708431005478
step: 200, loss: 0.0646030455827713
step: 210, loss: 0.23600102961063385
epoch 3: dev_f1=0.7453416149068323, f1=0.7440860215053764, best_f1=0.7440860215053764
step: 0, loss: 0.07199274748563766
step: 10, loss: 0.03771178051829338
step: 20, loss: 0.027226842939853668
step: 30, loss: 0.1431143581867218
step: 40, loss: 0.38618531823158264
step: 50, loss: 0.04518292099237442
step: 60, loss: 0.03962826356291771
step: 70, loss: 0.14017744362354279
step: 80, loss: 0.2233540415763855
step: 90, loss: 0.09125855565071106
step: 100, loss: 0.10274118930101395
step: 110, loss: 0.03839431330561638
step: 120, loss: 0.2667035758495331
step: 130, loss: 0.20897425711154938
step: 140, loss: 0.08708875626325607
step: 150, loss: 0.159817174077034
step: 160, loss: 0.12563994526863098
step: 170, loss: 0.1858309805393219
step: 180, loss: 0.12729744613170624
step: 190, loss: 0.08503077924251556
step: 200, loss: 0.3179154396057129
step: 210, loss: 0.15110179781913757
epoch 4: dev_f1=0.7401574803149606, f1=0.7416173570019724, best_f1=0.7440860215053764
step: 0, loss: 0.07757368683815002
step: 10, loss: 0.04966273158788681
step: 20, loss: 0.074508897960186
step: 30, loss: 0.09199623763561249
step: 40, loss: 0.1665402054786682
step: 50, loss: 0.03971526026725769
step: 60, loss: 0.014328937977552414
step: 70, loss: 0.06469466537237167
step: 80, loss: 0.015669874846935272
step: 90, loss: 0.033603813499212265
step: 100, loss: 0.12525370717048645
step: 110, loss: 0.1791931688785553
step: 120, loss: 0.07054862380027771
step: 130, loss: 0.24885065853595734
step: 140, loss: 0.10935177654027939
step: 150, loss: 0.17113415896892548
step: 160, loss: 0.17279255390167236
step: 170, loss: 0.09385935962200165
step: 180, loss: 0.28105223178863525
step: 190, loss: 0.049664366990327835
step: 200, loss: 0.16477563977241516
step: 210, loss: 0.149309903383255
epoch 5: dev_f1=0.7714285714285715, f1=0.7447698744769874, best_f1=0.7447698744769874
step: 0, loss: 0.00932309590280056
step: 10, loss: 0.09821747243404388
step: 20, loss: 0.013063661754131317
step: 30, loss: 0.0890749841928482
step: 40, loss: 0.036601997911930084
step: 50, loss: 0.3038737177848816
step: 60, loss: 0.014206505380570889
step: 70, loss: 0.059324417263269424
step: 80, loss: 0.038171716034412384
step: 90, loss: 0.1505413055419922
step: 100, loss: 0.053133491426706314
step: 110, loss: 0.11398273706436157
step: 120, loss: 0.11043065786361694
step: 130, loss: 0.035327713936567307
step: 140, loss: 0.013186858035624027
step: 150, loss: 0.008725790306925774
step: 160, loss: 0.22522065043449402
step: 170, loss: 0.04209228232502937
step: 180, loss: 0.09751870483160019
step: 190, loss: 0.04462830722332001
step: 200, loss: 0.025200117379426956
step: 210, loss: 0.052522387355566025
